N,Triton (GB/s),Pytorch (GB/s)
256.000000,146.952753,210.790748
384.000000,216.316869,216.496648
512.000000,218.591640,218.111133
640.000000,218.844852,214.988122
768.000000,218.455666,214.464957
896.000000,219.113926,211.586265
1024.000000,219.844838,211.464794
1152.000000,222.235731,214.107503
1280.000000,222.900293,216.264384
1408.000000,222.752579,213.218881
1536.000000,223.973228,214.209371
1664.000000,223.243928,211.752116
1792.000000,224.453652,211.515579
1920.000000,225.350661,210.556766
2048.000000,224.631382,211.706824
2176.000000,229.363998,219.779107
2304.000000,229.676235,226.635513
2432.000000,228.989146,234.374341
2560.000000,229.606004,237.710267
2688.000000,229.151813,238.947694
2816.000000,229.541025,241.047769
2944.000000,229.634200,242.038980
3072.000000,229.511240,242.586392
3200.000000,229.702528,240.397203
3328.000000,230.738535,242.491926
3456.000000,229.611210,242.304730
3584.000000,230.346817,242.917925
3712.000000,229.645476,243.407758
3840.000000,229.981487,242.858051
3968.000000,229.204125,243.379185
4096.000000,230.488481,242.904546
4224.000000,229.154006,243.021485
4352.000000,230.047323,244.214523
4480.000000,229.864148,243.811376
4608.000000,229.722701,243.767148
4736.000000,229.233303,244.245317
4864.000000,229.532686,244.358226
4992.000000,229.829932,243.890868
5120.000000,229.600891,244.105088
5248.000000,229.157941,244.465740
5376.000000,229.303975,244.777756
5504.000000,228.931862,244.636924
5632.000000,229.298877,244.791412
5760.000000,228.607573,244.404594
5888.000000,229.019079,244.464605
6016.000000,228.443651,244.406535
6144.000000,228.573444,244.120387
6272.000000,228.376682,244.679664
6400.000000,228.617774,244.476621
6528.000000,227.963776,244.324812
6656.000000,228.338015,244.608254
6784.000000,228.301648,244.669016
6912.000000,228.489134,244.315334
7040.000000,228.201821,244.798267
7168.000000,228.229779,200.208176
7296.000000,196.141958,222.866039
7424.000000,228.049621,243.664345
7552.000000,228.453911,243.063473
7680.000000,228.185202,241.812412
7808.000000,228.288421,242.336346
7936.000000,228.183959,242.705659
8064.000000,228.204461,241.189290
8192.000000,227.936467,240.468297
8320.000000,226.311509,241.711865
8448.000000,226.995415,242.575863
8576.000000,226.432603,238.078722
8704.000000,227.532886,239.984822
8832.000000,226.135880,237.854568
8960.000000,226.318086,238.026907
9088.000000,226.189712,236.016815
9216.000000,225.243217,234.720788
9344.000000,224.672130,187.400252
9472.000000,226.437220,190.254402
9600.000000,226.061095,190.725799
9728.000000,226.357914,193.830715
9856.000000,225.743712,193.902218
9984.000000,226.189882,196.437034
10112.000000,226.397353,196.865527
10240.000000,196.198131,198.165611
10368.000000,197.309544,199.636866
10496.000000,225.958858,203.111130
10624.000000,225.900852,202.837089
10752.000000,226.222241,206.515585
10880.000000,226.110169,205.563197
11008.000000,226.955872,208.273092
11136.000000,226.837084,209.387882
11264.000000,227.130487,212.915346
11392.000000,226.926972,211.834723
11520.000000,227.368588,214.124314
11648.000000,227.169337,216.153702
11776.000000,227.928407,219.419961
11904.000000,226.928215,218.440669
12032.000000,227.268275,223.221468
12160.000000,227.017929,223.832473
12288.000000,228.042678,207.291891
12416.000000,227.786502,220.188453
12544.000000,197.541028,160.905040
12672.000000,199.035106,212.084615
